response_option_left_location,accuracyCriterion,response_option_right_location,stimulus1_location,seconds,percentCorrect,end_message,image_stimulus1_location,speed,accuracy_feedback_location,moving_response_options,rule_A,image_stimulus2_location,rule_B,press_message,intro_message,aim,response_option_B,response_option_A,latencyCriterion,stimulus2_location,n_pairs_test_blocks,max_pairs_practice_blocks,accuracy,trialType,stimulus1_category,stimulus2_category,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,practice_blocks.thisRepN,practice_blocks.thisTrialN,practice_blocks.thisN,practice_blocks.thisIndex,practice_Afirst.thisRepN,practice_Afirst.thisTrialN,practice_Afirst.thisN,practice_Afirst.thisIndex,practice_trials_Afirst.thisRepN,practice_trials_Afirst.thisTrialN,practice_trials_Afirst.thisN,practice_trials_Afirst.thisIndex,practice_trials_B.thisRepN,practice_trials_B.thisTrialN,practice_trials_B.thisN,practice_trials_B.thisIndex,practice_Asecond.thisRepN,practice_Asecond.thisTrialN,practice_Asecond.thisN,practice_Asecond.thisIndex,test_blocks.thisRepN,test_blocks.thisTrialN,test_blocks.thisN,test_blocks.thisIndex,stimulus1,stimulus2,img_stimulus1,img_stimulus2,response_option_left,response_option_right,required_response_A.keys,required_response_A.corr,required_response_A.rt,feedback_response_A.keys,feedback_response_A.corr,feedback_response_A.rt,required_response_B.keys,required_response_B.corr,required_response_B.rt,feedback_response_B.keys,feedback_response_B.corr,feedback_response_B.rt,participant,UseMonkey,gender,age,frameRate,expName,date,StartingBlock,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,2,,,,,,,,,,,,,spider,pretty,blank.png,blank.png,Different,Similar,e,1,0.108529090881,i,1,0.108397006989,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,2,,,,,,,,,,,,,wasp,friendly,blank.png,blank.png,Different,Similar,e,1,0.105738162994,i,1,0.105508804321,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,4,b,d,0,0,0,0,0,0,0,0,0,0,0,0,3,1,13,3,,,,,,,,,,,,,spider,hostile,blank.png,blank.png,Different,Similar,i,1,0.103368997574,e,1,0.103179931641,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,1,a,c,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,,,,,,,,,,,,,daisy,good,blank.png,blank.png,Different,Similar,i,1,0.106601953506,e,1,0.106392145157,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,2,a,d,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,1,,,,,,,,,,,,,daffodil,hateful,blank.png,blank.png,Different,Similar,e,1,0.106200933456,i,1,0.106023073196,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,4,b,d,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,3,,,,,,,,,,,,,wasp,pain,blank.png,blank.png,Different,Similar,i,1,0.10606098175,e,1,0.105704069138,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,2,a,d,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,1,,,,,,,,,,,,,daffodil,mean,blank.png,blank.png,Different,Similar,e,1,0.105597019196,i,1,0.10525393486,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,1,a,c,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18,0,,,,,,,,,,,,,rose,pretty,blank.png,blank.png,Different,Similar,i,1,0.108293056488,e,1,0.108186006546,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,2,,,,,,,,,,,,,spider,happy,blank.png,blank.png,Different,Similar,e,1,0.107642889023,i,1,0.107439994812,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,1,a,c,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,,,,,,,,,,,,,lilly,friendly,blank.png,blank.png,Different,Similar,i,1,0.102708816528,e,1,0.102410078049,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,3,b,c,0,0,0,0,0,0,0,0,0,0,0,0,5,1,21,2,,,,,,,,,,,,,spider,pretty,blank.png,blank.png,Different,Similar,e,1,0.106571912766,i,1,0.106359004974,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
"[-0.3, -0.6]",0,"[0.3, -0.6]","[0, 0.2]",seconds,percent correct,End of task.,"[0, 0.3]",Speed:,"[0, -0.7]",False,"Respond AS IF flowers are positive and insects are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue","[0, -0.3]","Respond AS IF insects are positive and flowers are negative

Go as quickly as you can while being accurate

Press 'e' or 'i' to continue",Press 'e' or 'i' to continue,"This task will present you with pairs of words. 

You will be given rules on how to respond to them. 

Go as quickly as you can while being accurate.

Place your fingers on the 'e' and 'i' keys. 
Press either one to continue.",Aim for >80% and <2 seconds,Similar,Different,0,"[0, -0.2]",3,4,Accuracy:,2,a,d,0,0,0,0,0,0,0,0,0,0,0,0,5,2,22,1,,,,,,,,,,,,,lilly,pain,blank.png,blank.png,Different,Similar,e,1,0.125686168671,i,1,0.12549495697,,,,,,,3,y,m,1,59.7061599366,IRAP,2016_May_05_1957,a,
